序号,库存组织,业务日期,单据类型,出入库类型,单据号,仓库,项目,物料编码,物料名称,物料版本,规格,型号,批次号,主单位,单位,换算率,入库主数量,入库数量,出库主数量,出库数量
1,二分部,2025-11-03,库存物料出库单,材料出库,IO202511036347,主仓库,项目0011,M00009,物料00009,V1.0,S2-39,X987,B015,M,M,1.0,0.0,0.0,117.532,117.532
2,一分部,2025-08-01,库存物料出库单,材料出库,IO202508017150,备件仓,项目0003,M00022,物料00022,V2.0,S5-65,X261,B013,EA,EA,1.0,0.0,0.0,87.881,87.881
3,总部,2025-12-18,库存物料出库单,材料出库,IO202512185037,项目仓,项目0002,M00003,物料00003,V2.0,S1-30,X814,B013,KG,KG,1.0,0.0,0.0,40.196,40.196
4,二分部,2025-11-13,库存采购入库单,普通采购入库,IO202511137383,备件仓,项目0006,M00004,物料00004,V2.0,S3-37,X881,B010,EA,EA,1.0,18.304,18.304,0.0,0.0
5,一分部,2025-09-04,库存物料出库单,材料出库,IO202509042674,主仓库,项目0002,M00006,物料00006,V1.0,S1-68,X649,B018,M,M,1.0,0.0,0.0,64.647,64.647
6,二分部,2025-10-13,库存物料出库单,材料出库,IO202510132692,主仓库,项目0002,M00012,物料00012,V2.0,S9-41,X267,B020,M,M,1.0,0.0,0.0,83.133,83.133
7,二分部,2025-08-26,库存物料出库单,材料出库,IO202508261202,备件仓,项目0007,M00013,物料00013,V2.0,S9-38,X801,B018,EA,EA,1.0,0.0,0.0,116.875,116.875
8,总部,2025-10-28,库存采购入库单,普通采购入库,IO202510287237,主仓库,项目0003,M00009,物料00009,V1.0,S2-39,X987,B016,M,M,1.0,60.226,60.226,0.0,0.0
9,总部,2025-06-20,库存采购入库单,普通采购入库,IO202506208121,备件仓,项目0007,M00010,物料00010,V2.0,S8-91,X954,B003,PCS,PCS,1.0,96.846,96.846,0.0,0.0
10,一分部,2025-08-07,库存采购入库单,普通采购入库,IO202508079123,项目仓,项目0010,M00007,物料00007,V3.0,S9-47,X949,B005,SET,SET,1.0,91.572,91.572,0.0,0.0
11,一分部,2025-06-05,库存物料出库单,材料出库,IO202506056443,项目仓,项目0007,M00026,物料00026,V3.0,S4-17,X346,B015,EA,EA,1.0,0.0,0.0,129.33,129.33
12,一分部,2025-09-22,库存采购入库单,普通采购入库,IO202509225922,备件仓,项目0010,M00023,物料00023,V1.0,S9-32,X619,B011,KG,KG,1.0,40.17,40.17,0.0,0.0
13,总部,2025-09-13,库存物料出库单,材料出库,IO202509135775,项目仓,项目0012,M00021,物料00021,V2.0,S2-97,X649,B019,KG,KG,1.0,0.0,0.0,73.651,73.651
14,总部,2025-08-26,库存物料出库单,材料出库,IO202508265592,备件仓,项目0006,M00004,物料00004,V2.0,S3-37,X881,B007,EA,EA,1.0,0.0,0.0,139.81,139.81
15,二分部,2025-10-21,库存采购入库单,普通采购入库,IO202510211440,项目仓,项目0008,M00023,物料00023,V1.0,S9-32,X619,B010,KG,KG,1.0,41.93,41.93,0.0,0.0
16,二分部,2025-06-21,库存物料出库单,材料出库,IO202506219180,主仓库,项目0011,M00010,物料00010,V2.0,S8-91,X954,B005,PCS,PCS,1.0,0.0,0.0,36.303,36.303
17,二分部,2025-09-20,库存物料出库单,材料出库,IO202509202211,备件仓,项目0010,M00016,物料00016,V1.0,S3-43,X242,B018,SET,SET,1.0,0.0,0.0,87.337,87.337
18,二分部,2025-11-28,库存物料出库单,材料出库,IO202511289907,主仓库,项目0006,M00023,物料00023,V1.0,S9-32,X619,B018,KG,KG,1.0,0.0,0.0,134.325,134.325
19,二分部,2025-11-14,库存采购入库单,普通采购入库,IO202511142791,主仓库,项目0011,M00022,物料00022,V2.0,S5-65,X261,B020,EA,EA,1.0,71.002,71.002,0.0,0.0
20,总部,2025-10-26,库存物料出库单,材料出库,IO202510266432,备件仓,项目0002,M00001,物料00001,V3.0,S4-39,X617,B008,EA,EA,1.0,0.0,0.0,14.791,14.791
21,二分部,2025-12-12,库存采购入库单,普通采购入库,IO202512128303,备件仓,项目0007,M00015,物料00015,V2.0,S6-37,X771,B019,M,M,1.0,154.468,154.468,0.0,0.0
22,二分部,2025-10-10,库存采购入库单,普通采购入库,IO202510106651,主仓库,项目0008,M00004,物料00004,V2.0,S3-37,X881,B003,EA,EA,1.0,59.086,59.086,0.0,0.0
23,总部,2025-12-07,库存采购入库单,普通采购入库,IO202512076707,备件仓,项目0006,M00015,物料00015,V2.0,S6-37,X771,B017,M,M,1.0,156.854,156.854,0.0,0.0
24,一分部,2025-09-01,库存物料出库单,材料出库,IO202509012599,备件仓,项目0012,M00023,物料00023,V1.0,S9-32,X619,B003,KG,KG,1.0,0.0,0.0,67.867,67.867
25,一分部,2025-06-15,库存采购入库单,普通采购入库,IO202506151370,备件仓,项目0011,M00004,物料00004,V2.0,S3-37,X881,B006,EA,EA,1.0,135.428,135.428,0.0,0.0
26,二分部,2025-08-05,库存采购入库单,普通采购入库,IO202508053623,备件仓,项目0009,M00014,物料00014,V2.0,S1-50,X510,B008,EA,EA,1.0,191.693,191.693,0.0,0.0
27,一分部,2025-11-12,库存采购入库单,普通采购入库,IO202511124053,项目仓,项目0011,M00014,物料00014,V2.0,S1-50,X510,B020,EA,EA,1.0,79.116,79.116,0.0,0.0
28,总部,2025-09-27,库存物料出库单,材料出库,IO202509277370,主仓库,项目0012,M00007,物料00007,V3.0,S9-47,X949,B003,SET,SET,1.0,0.0,0.0,30.868,30.868
29,二分部,2025-06-30,库存采购入库单,普通采购入库,IO202506306993,备件仓,项目0004,M00015,物料00015,V2.0,S6-37,X771,B016,M,M,1.0,22.791,22.791,0.0,0.0
30,二分部,2025-11-14,库存物料出库单,材料出库,IO202511147367,项目仓,项目0007,M00019,物料00019,V3.0,S3-97,X532,B012,EA,EA,1.0,0.0,0.0,17.135,17.135
31,一分部,2025-11-09,库存采购入库单,普通采购入库,IO202511095873,项目仓,项目0010,M00003,物料00003,V2.0,S1-30,X814,B011,KG,KG,1.0,134.422,134.422,0.0,0.0
32,总部,2025-08-04,库存物料出库单,材料出库,IO202508042916,主仓库,项目0006,M00023,物料00023,V1.0,S9-32,X619,B013,KG,KG,1.0,0.0,0.0,21.204,21.204
33,一分部,2025-11-03,库存采购入库单,普通采购入库,IO202511037286,备件仓,项目0003,M00016,物料00016,V1.0,S3-43,X242,B006,SET,SET,1.0,127.1,127.1,0.0,0.0
